"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"rm_na_rbcL",0.0109767999999999,0.00222281999999998,0.00580479999999997,0.000898109999999994,0.0167459600000002,0.0444339900000004,0.0112853900000001,0.0164337100000001,0.0231581,0.02885529,0.0306423300000003,0.0387327800000001,0.0223477399999999,0.0602693699999999,0.00427208000000003,0.00694844000000007,0.00780481000000001,0.0120728500000001,0.01724617,0.0347303400000003,0.0402891500000004,0.0726434199999994,0.0397522200000001,0.01705704
"rm_na_rpl14",0.0110381,1.49999999999999e-07,0.00279426,0.00562891999999999,0.0167531500000002,0.0500643999999999,0.00777221999999998,0.0295316700000003,0.0130149700000001,0.0185282900000002,0.01480027,0.03423735,0.00900856999999996,0.10504729,0.00881099999999994,0.02123748,0.00532908999999994,0.00701735999999994,0.0184985700000001,0.0310164200000001,0.0565766699999996,0.0524671199999996,0.0565812900000006,0.0171523000000002
"rm_na_rpl16",0.0112095799999999,0.0104087699999999,0.0147107299999999,5.89999999999995e-07,0.00538447000000006,0.12797842,0.00261445000000001,0.0361260799999999,0.0438781800000001,0.0305906999999998,0.0342411399999999,0.0490116499999998,0.0248031500000002,0.13186566,0.00489661999999996,0.00795115999999995,0.00189814000000002,0.00784886999999995,0.0317229300000003,0.0277667600000002,0.0557579,0.0801539199999997,0.0564750099999999,0.0174187699999999
"rm_na_rpl2",0.00434763999999999,9.0000000000001e-08,0.00120446999999999,0.00248674999999998,0.00242715999999998,0.0214075300000002,0.00360563999999997,0.00498583999999997,0.00250087,0.00242597999999999,0.00618684999999999,0.00747794000000001,0.00247162000000002,0.0232354799999998,0.00121909,0.00122053999999999,0.00124919,0.00117659000000001,0.00371884999999998,0.00494409999999995,0.00875638000000007,0.00737647999999998,0.0178079100000002,0.00675587000000001
"rm_na_rpl20",0.0107461000000001,1.48999999999998e-06,0.01814979,0.0107703000000001,0.02980985,0.0953917599999999,0.0300897200000002,0.0183197,0.01727489,0.03019849,0.0223393499999998,0.0404470599999996,0.0379385299999998,0.14635891,0.00104589,0.0284670900000001,0.00114523000000001,0.0346650600000003,0.0195248800000001,0.0327884200000001,0.0373444499999996,0.0701477299999999,0.0760239600000006,0.0166985500000001
"rm_na_rpl22",0.0195498000000001,3.69999999999995e-07,0.00911404,0.0112542399999999,0.0167159100000001,0.0976471799999997,0.0349768900000003,0.0417709500000001,0.0360153300000004,0.0487509899999995,0.0641104200000003,0.0424836100000004,0.0142741700000001,0.14595372,0.00376927000000003,0.00458459000000002,0.0157586700000001,0.0347947600000002,0.00599106000000003,0.0689140300000003,0.0875128800000001,0.0943226499999999,0.0749769600000006,0.03037878
"rm_na_rpl23",7.99999999999994e-08,2.29999999999999e-07,0.00402412000000002,2.29999999999999e-07,2.29999999999999e-07,0.0164549399999999,2.40000000000002e-07,2.70000000000001e-07,0.00400840999999999,0.01645218,0.00832189000000007,0.01271116,0.00379425000000002,0.01655264,2.29999999999999e-07,2.80000000000001e-07,2.60000000000001e-07,2.40000000000002e-07,0.00815353999999993,0.00399838999999997,0.03001204,2.70000000000001e-07,0.01225738,1.20000000000002e-07
"rm_na_rpl32",0.0297403199999998,1.91899999999999e-05,1.92999999999998e-06,8.29999999999993e-07,1.48999999999998e-06,0.11014978,5.99999999999995e-07,0.0123100200000001,0.0165658699999999,0.0811908100000006,0.0757450300000006,0.0434831799999999,0.0427356500000002,0.12921401,3.33999999999997e-06,0.0138714100000001,0.0314092499999997,0.08992835,0.00479140999999997,0.0963681399999999,0.0663041899999996,0.34229725,0.13110849,0.0462140199999996
"rm_na_rpl33",0.01103231,0.00310931999999999,7.40000000000006e-07,0.0143394100000001,5.80000000000004e-07,0.11770942,0.00951541999999997,0.0311840800000001,0.01142115,0.02238424,0.0222443599999998,0.0397197200000003,0.0282031800000003,0.0887305200000005,3.60000000000003e-07,0.00693253999999998,0.00586380000000002,0.00421151,0.0163299499999999,0.0269780399999997,0.0539345799999999,0.10218873,0.0773070699999993,0.0171433
"rm_na_rpl36",2e-07,0.01926122,4.59999999999996e-07,0.00957868000000004,0.00995843000000003,0.0098901100000001,0.00909550000000004,0.0095644000000001,0.0196782300000001,0.0092960000000001,0.00984447999999996,0.0197217800000001,0.0412937400000004,0.0831966499999998,5.69999999999998e-07,0.0187961199999998,4.19999999999999e-07,2.63000000000001e-06,0.01004024,0.0200399699999999,0.0479370399999995,0.0615264200000002,0.0643321999999998,3.20000000000003e-07
